bound,threat,description,defence,asr,p95_latency_ms,fdr
"worst-case (k=8,m=M)",T6,Cloud token theft,permission,1.0,0.044,
"worst-case (k=8,m=M)",T6,Cloud token theft,corroboration,1.0,0.23,
"worst-case (k=8,m=M)",T6,Cloud token theft,liveness,1.0,0.134,
"worst-case (k=8,m=M)",T6,Cloud token theft,full,0.0,0.131,
"worst-case (k=8,m=M)",T7,Text injection (agent capture),none,1.0,0.003,
"worst-case (k=8,m=M)",T7,Text injection (agent capture),permission,0.0,0.036,
"worst-case (k=8,m=M)",T7,Text injection (agent capture),corroboration,0.0,0.389,
"worst-case (k=8,m=M)",T7,Text injection (agent capture),liveness,0.0,0.706,
"worst-case (k=8,m=M)",T7,Text injection (agent capture),full,0.0,1.13,
"worst-case (k=8,m=M)",T8,Multi-modal replay,none,1.0,0.024,
"worst-case (k=8,m=M)",T8,Multi-modal replay,permission,1.0,0.089,
"worst-case (k=8,m=M)",T8,Multi-modal replay,corroboration,1.0,0.21,
"worst-case (k=8,m=M)",T8,Multi-modal replay,liveness,1.0,0.236,
"worst-case (k=8,m=M)",T8,Multi-modal replay,full,0.0,0.211,
"worst-case (k=8,m=M)",T9,Calibration poisoning,none,1.0,0.012,
"worst-case (k=8,m=M)",T9,Calibration poisoning,permission,1.0,0.033,
"worst-case (k=8,m=M)",T9,Calibration poisoning,corroboration,0.0,0.088,
"worst-case (k=8,m=M)",T9,Calibration poisoning,liveness,0.0,0.06,
"worst-case (k=8,m=M)",T9,Calibration poisoning,full,0.0,0.067,
"worst-case (k=8,m=M)",T10,Staleness exploitation,none,1.0,0.006,
"worst-case (k=8,m=M)",T10,Staleness exploitation,permission,1.0,0.027,
"worst-case (k=8,m=M)",T10,Staleness exploitation,corroboration,0.0,0.043,
"worst-case (k=8,m=M)",T10,Staleness exploitation,liveness,0.0,0.037,
"worst-case (k=8,m=M)",T10,Staleness exploitation,full,0.0,0.047,
"worst-case (k=8,m=M)",T11,Challenge relay,none,1.0,0.009,
"worst-case (k=8,m=M)",T11,Challenge relay,permission,1.0,0.031,
"worst-case (k=8,m=M)",T11,Challenge relay,corroboration,1.0,0.252,
"worst-case (k=8,m=M)",T11,Challenge relay,liveness,1.0,0.26,
"worst-case (k=8,m=M)",T11,Challenge relay,full,0.0,0.429,
"worst-case (k=8,m=M)",T12,Tier laundering,none,1.0,0.014,
"worst-case (k=8,m=M)",T12,Tier laundering,permission,1.0,0.059,
"worst-case (k=8,m=M)",T12,Tier laundering,corroboration,1.0,0.429,
"worst-case (k=8,m=M)",T12,Tier laundering,liveness,1.0,0.373,
"worst-case (k=8,m=M)",T12,Tier laundering,full,0.0,0.411,
"worst-case (k=8,m=M)",T13,Escalation fatigue,none,1.0,0.012,
"worst-case (k=8,m=M)",T13,Escalation fatigue,permission,1.0,0.085,
"worst-case (k=8,m=M)",T13,Escalation fatigue,corroboration,1.0,0.346,
"worst-case (k=8,m=M)",T13,Escalation fatigue,liveness,1.0,0.225,
"worst-case (k=8,m=M)",T13,Escalation fatigue,full,0.0,0.374,
"worst-case (k=8,m=M)",T14,Time-sync attack,none,1.0,0.012,
"worst-case (k=8,m=M)",T14,Time-sync attack,permission,1.0,0.078,
"worst-case (k=8,m=M)",T14,Time-sync attack,corroboration,1.0,0.17,
"worst-case (k=8,m=M)",T14,Time-sync attack,liveness,1.0,0.107,
"worst-case (k=8,m=M)",T14,Time-sync attack,full,0.0,0.119,
"worst-case (k=8,m=M)",T15,Threshold gaming,none,1.0,0.01,
"worst-case (k=8,m=M)",T15,Threshold gaming,permission,1.0,0.034,
"worst-case (k=8,m=M)",T15,Threshold gaming,corroboration,1.0,0.176,
"worst-case (k=8,m=M)",T15,Threshold gaming,liveness,1.0,0.172,
"worst-case (k=8,m=M)",T15,Threshold gaming,full,0.0,0.148,
"worst-case (k=8,m=M)",T16,Attritional degradation,none,1.0,0.012,
"worst-case (k=8,m=M)",T16,Attritional degradation,permission,1.0,0.08,
"worst-case (k=8,m=M)",T16,Attritional degradation,corroboration,1.0,0.4,
"worst-case (k=8,m=M)",T16,Attritional degradation,liveness,1.0,0.674,
"worst-case (k=8,m=M)",T16,Attritional degradation,full,0.0,1.133,
"worst-case (k=8,m=M)",T17,Challenge laundering (hit-and-run),none,1.0,0.049,
"worst-case (k=8,m=M)",T17,Challenge laundering (hit-and-run),permission,1.0,0.188,
"worst-case (k=8,m=M)",T17,Challenge laundering (hit-and-run),corroboration,0.0,0.085,
"worst-case (k=8,m=M)",T17,Challenge laundering (hit-and-run),liveness,0.0,0.182,
"worst-case (k=8,m=M)",T17,Challenge laundering (hit-and-run),full,0.0,0.071,
"worst-case (k=8,m=M)",T18,Probe decoy,none,1.0,0.017,
"worst-case (k=8,m=M)",T18,Probe decoy,permission,1.0,0.082,
"worst-case (k=8,m=M)",T18,Probe decoy,corroboration,1.0,0.366,
"worst-case (k=8,m=M)",T18,Probe decoy,liveness,1.0,0.466,
"worst-case (k=8,m=M)",T18,Probe decoy,full,1.0,0.468,
"worst-case (k=8,m=M)",T19,Probe fingerprinting,none,1.0,0.014,
"worst-case (k=8,m=M)",T19,Probe fingerprinting,permission,1.0,0.057,
"worst-case (k=8,m=M)",T19,Probe fingerprinting,corroboration,1.0,0.601,
"worst-case (k=8,m=M)",T19,Probe fingerprinting,liveness,1.0,1.1,
"worst-case (k=8,m=M)",T19,Probe fingerprinting,full,0.0,0.279,
benign,-,benign tier-3 unlock,none,,0.024,0.0
benign,-,benign tier-3 unlock,permission,,0.201,0.0
benign,-,benign tier-3 unlock,corroboration,,0.331,0.0
benign,-,benign tier-3 unlock,liveness,,0.468,0.0
benign,-,benign tier-3 unlock,full,,0.359,0.0
ablation,-,full defence,full,0.053,,
ablation,-,- predicate-bound probe,corroboration,0.684,,
ablation,-,"- probe, + liveness probe only",liveness,0.737,,
ablation,-,- continuity & dropout scoring,full,0.053,,
ablation,-,- independence grouping,full,0.053,,
ablation,-,- channel binding,full,0.053,,
